date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
09:57:41	113/113	---M-Z	200	added ('OK')	text/plain	date:Tue,%2008%20Feb%202022%2001:57:40%20GMT	https://jordanusabank.com/robots.txt		(from )
09:57:52	175813/175813	---MCZ	200	added ('OK')	text/html	date:Tue,%2008%20Feb%202022%2001:57:46%20GMT	https://jordanusabank.com/	C:/Users/user/OneDrive/Desktop/jordan/jordan/jordanusabank.com/index.html	(from )
09:57:53	693/693	---M-Z	200	added ('OK')	text/css	date:Wed,%2015%20Dec%202021%2013:09:03%20GMT	https://jordanusabank.com/melody11/gtranslate/gtranslate-style24.css?ver=5.9	C:/Users/user/OneDrive/Desktop/jordan/jordan/jordanusabank.com/melody11/gtranslate/gtranslate-style24271b.css	(from https://jordanusabank.com/)
09:57:54	1055/1055	---M-Z	200	added ('OK')	application/rss+xml	etag:%222d8235267063975e54af01420752d146%22	https://jordanusabank.com/feed/	C:/Users/user/OneDrive/Desktop/jordan/jordan/jordanusabank.com/feed/index.html	(from https://jordanusabank.com/)
09:57:54	709/709	---M-Z	200	added ('OK')	application/rss+xml	etag:%22a346054abcda06d2b0ccd4e1a925f164%22	https://jordanusabank.com/comments/feed/	C:/Users/user/OneDrive/Desktop/jordan/jordan/jordanusabank.com/comments/feed/index.html	(from https://jordanusabank.com/)
09:57:55	31500/31500	---M--	200	added ('OK')	text/css	date:Tue,%2003%20Mar%202020%2019:15:00%20GMT	https://ajax.googleapis.com/ajax/libs/jqueryui/1.8.2/themes/smoothness/jquery-ui.css?ver=5.9	C:/Users/user/OneDrive/Desktop/jordan/jordan/ajax.googleapis.com/ajax/libs/jqueryui/1.8.2/themes/smoothness/jquery-ui271b.css	(from https://jordanusabank.com/)
09:57:55	1161/1161	---M-Z	200	added ('OK')	text/css	date:Mon,%2020%20Sep%202021%2018:45:17%20GMT	https://jordanusabank.com/melody/assets/css/minified/compatibility/page-builder/vc-plugin.min.css?ver=3.7.2	C:/Users/user/OneDrive/Desktop/jordan/jordan/jordanusabank.com/melody/assets/css/minified/compatibility/page-builder/vc-plugin.minf3df.css	(from https://jordanusabank.com/)
09:57:56	42271/42271	---M-Z	200	added ('OK')	text/css	date:Mon,%2020%20Sep%202021%2018:45:17%20GMT	https://jordanusabank.com/melody/assets/css/minified/main.min.css?ver=3.7.2	C:/Users/user/OneDrive/Desktop/jordan/jordan/jordanusabank.com/melody/assets/css/minified/main.minf3df.css	(from https://jordanusabank.com/)
09:57:57	79227/79227	---M-Z	200	added ('OK')	text/css	date:Tue,%2011%20Jan%202022%2013:45:32%20GMT	https://jordanusabank.com/igricoor/css/dist/block-library/style.min.css?ver=5.9	C:/Users/user/OneDrive/Desktop/jordan/jordan/jordanusabank.com/igricoor/css/dist/block-library/style.min271b.css	(from https://jordanusabank.com/)
09:57:57	84413/84413	---M-Z	200	added ('OK')	text/css	date:Fri,%2019%20Nov%202021%2014:13:28%20GMT	https://jordanusabank.com/melody11/PIE-REG/css/front.css?ver=2.0	C:/Users/user/OneDrive/Desktop/jordan/jordan/jordanusabank.com/melody11/PIE-REG/css/frontd5f7.css	(from https://jordanusabank.com/)
09:57:58	3735/3735	---M-Z	200	added ('OK')	text/css	date:Fri,%2019%20Nov%202021%2014:13:28%20GMT	https://jordanusabank.com/melody11/PIE-REG/css/validation.css?ver=2.0	C:/Users/user/OneDrive/Desktop/jordan/jordan/jordanusabank.com/melody11/PIE-REG/css/validationd5f7.css	(from https://jordanusabank.com/)
